location_id,month,hour,temperature (C degree),humidity (%),pressure (hPa),cloudcover (%),windspeed (km/h),season_encoded,day_night_encoded,precipitation (mm)
5,7,5,25.1,90,1005.9,87,6.6,1,1,0.0
7,7,17,30.2,72,1004.1,100,10.6,1,0,0.0
1,2,13,29.1,65,1011.8,27,34.1,0,0,0.0
2,6,19,25.8,96,1009.0,100,3.1,1,1,0.0
4,10,0,25.4,91,1011.4,100,5.4,1,1,0.0
3,12,17,29.8,66,1006.6,100,7.7,0,0,0.0
4,10,23,26.6,89,1011.1,94,3.9,1,1,0.0
5,5,20,30.4,75,1009.2,100,11.6,1,1,0.0
7,2,6,21.5,78,1010.9,0,3.5,0,0,0.0
2,7,22,27.4,80,1008.2,100,10.6,1,1,0.0
8,3,8,27.3,69,1013.5,93,5.2,0,0,0.0
1,5,11,29.0,78,1009.8,100,19.6,1,0,1.4
7,9,12,26.5,84,1008.8,100,9.8,1,0,0.3
8,9,6,24.7,97,1008.9,100,5.8,1,0,0.0
4,9,17,27.1,85,1005.8,95,14.3,1,0,0.1
5,10,6,23.6,99,1009.7,96,5.2,1,0,0.0
3,7,21,25.8,88,1006.7,100,14.7,1,1,0.0
7,6,18,26.2,91,1006.9,100,6.7,1,1,0.2
4,6,23,25.5,92,1010.3,100,5.1,1,1,0.0
4,8,14,29.7,76,1007.8,78,2.6,1,0,0.4
6,4,23,28.7,82,1007.6,4,11.3,0,1,0.0
8,11,0,24.0,98,1010.2,79,3.4,1,1,0.0
1,12,11,26.6,86,1009.8,100,5.7,0,0,1.0
8,10,11,32.1,57,1011.4,99,14.2,1,0,0.0
4,5,22,28.7,83,1011.7,100,9.4,1,1,0.0
6,7,8,27.0,86,1011.1,100,3.1,1,0,0.0
2,2,21,25.5,91,1012.5,14,10.3,0,1,0.0
1,4,19,28.4,80,1009.5,83,9.4,0,1,0.0
4,10,4,24.7,97,1009.8,97,5.7,1,1,0.0
2,8,9,30.4,74,1008.2,95,12.3,1,0,0.2
6,9,12,29.0,74,1010.7,100,8.7,1,0,0.1
4,4,7,26.6,88,1010.2,100,6.9,0,0,0.1
7,12,7,24.7,96,1010.5,100,5.7,0,0,0.0
4,7,20,26.6,90,1008.4,100,8.7,1,1,0.0
2,4,7,30.1,76,1008.1,16,9.4,0,0,0.0
6,11,19,24.4,92,1011.1,11,4.5,1,1,0.2
8,6,18,27.0,85,1008.4,83,6.8,1,1,0.0
3,12,6,23.6,96,1009.7,100,4.2,0,0,0.0
2,12,18,25.3,91,1011.0,100,1.5,0,1,0.0
7,5,16,30.6,65,1006.6,100,11.8,1,0,1.3
7,3,9,28.1,67,1013.5,3,0.7,0,0,0.0
4,6,12,32.4,65,1008.2,100,9.5,1,0,0.0
4,9,22,25.2,93,1008.7,100,6.6,1,1,0.3
6,1,20,26.7,75,1012.1,100,14.3,0,1,0.0
2,8,8,27.7,84,1011.8,94,8.0,1,0,0.0
3,9,21,25.6,93,1006.6,100,12.2,1,1,0.0
1,4,20,27.8,85,1008.9,14,7.9,0,1,0.0
4,7,7,26.4,91,1011.7,47,8.6,1,0,0.0
7,2,15,30.8,45,1009.0,100,5.5,0,0,0.0
5,11,23,26.0,85,1010.5,100,6.4,1,1,0.0
5,10,6,23.6,97,1009.0,100,6.2,1,0,0.0
2,5,22,27.4,89,1010.0,100,3.9,1,1,0.1
6,8,0,26.4,91,1009.9,63,5.0,1,1,0.0
2,5,22,27.7,88,1009.4,97,6.9,1,1,0.0
5,1,0,24.3,85,1011.5,100,6.1,0,1,0.0
1,9,12,26.7,86,1007.1,100,24.9,1,0,1.4
6,8,19,26.4,88,1008.8,100,6.8,1,1,0.0
3,3,3,24.8,90,1009.9,100,7.9,0,1,0.3
6,1,8,26.1,81,1013.9,98,5.7,0,0,0.0
8,2,18,30.2,56,1011.4,93,14.1,0,1,0.0
7,7,12,27.7,86,1008.9,100,8.7,1,0,0.1
3,7,11,31.3,67,1006.4,100,24.4,1,0,0.3
1,3,10,28.3,62,1016.9,23,6.3,0,0,0.0
8,11,20,24.4,89,1011.9,39,5.4,1,1,0.0
7,5,9,34.2,51,1010.9,54,11.3,1,0,0.0
7,1,14,32.1,54,1009.0,14,3.6,0,0,0.0
1,7,17,26.6,87,1006.0,100,10.2,1,0,0.1
7,2,4,23.2,96,1011.9,0,6.9,0,1,0.0
1,10,22,26.5,87,1009.2,100,14.2,1,1,0.5
7,5,2,28.4,84,1006.8,33,9.2,1,1,0.0
4,8,21,25.3,91,1008.8,100,11.4,1,1,0.0
6,4,6,26.2,85,1009.3,62,2.6,0,0,0.0
7,9,23,24.6,98,1010.3,100,4.7,1,1,0.0
5,10,8,27.0,87,1013.1,100,2.7,1,0,0.0
6,1,8,25.8,81,1013.7,8,7.4,0,0,0.0
6,3,8,27.6,80,1010.9,100,6.0,0,0,0.0
8,2,15,33.9,35,1009.4,87,8.0,0,0,0.0
8,6,0,26.6,87,1008.1,100,10.3,1,1,0.0
1,7,21,29.1,78,1007.1,99,15.0,1,1,0.0
7,4,16,31.6,58,1007.2,49,14.2,0,0,0.1
4,2,14,33.1,44,1009.1,100,5.5,0,0,0.4
2,7,14,26.1,91,1007.5,100,13.6,1,0,0.7
4,9,12,31.6,72,1007.3,100,21.8,1,0,0.1
2,10,17,28.3,81,1007.9,52,7.0,1,0,0.2
8,4,7,27.8,80,1012.0,18,10.5,0,0,0.0
7,3,12,32.8,45,1007.1,91,7.6,0,0,0.0
3,4,6,26.6,89,1009.9,99,4.0,0,0,0.0
